feature,train_missing_rate,train_abs_target_corr,train_target_corr,train_non_missing_rows
blocks_roll_30,0.010632075594317428,0.32060222128870075,0.32060222128870075,76119
blocks_std_30,0.02096520529784109,0.31947061327497017,0.31947061327497017,75324
effectiveFieldGoalPercentage_roll_30,0.010632075594317428,0.3140857032201774,0.3140857032201774,76119
blocks_roll_10,0.010632075594317428,0.30918548195611517,0.30918548195611517,76119
blocks_roll_5,0.010632075594317428,0.2875508276968985,0.2875508276968985,76119
effectiveFieldGoalPercentage_roll_10,0.010632075594317428,0.2858747337608223,0.2858747337608223,76119
offensiveRating_roll_5,0.010632075594317428,0.2850420988189884,0.2850420988189884,76119
numMinutes_std_30,0.02096520529784109,0.2814090092458887,-0.2814090092458887,75324
playerImpactEstimate_std_30,0.02096520529784109,0.28095884808898663,-0.28095884808898663,75324
trueShootingPercentage_roll_5,0.010632075594317428,0.27989887686738435,0.27989887686738435,76119
playerImpactEstimate_roll_5,0.010632075594317428,0.2731613625495384,0.2731613625495384,76119
effectiveFieldGoalPercentage_roll_5,0.010632075594317428,0.24998163834484302,0.24998163834484302,76119
bench_minutes_std_30,0.02096520529784109,0.2026852130912067,-0.2026852130912067,75324
starter_minutes_momentum_10_vs_30,0.010632075594317428,0.1473318195177008,0.1473318195177008,76119
current_is_starter_momentum_10_vs_30,0.010632075594317428,0.13169178175510965,0.13169178175510965,76119
starter_minutes_std_30,0.02096520529784109,0.1276733574066623,0.1276733574066623,75324
numMinutes_z_5_vs_30,0.021979021797054733,0.12340307339223115,0.12340307339223115,75246
defensiveRating_roll_30,0.010632075594317428,0.12257758769501122,0.12257758769501122,76119
defensiveRating_roll_10,0.010632075594317428,0.11663657560494381,0.11663657560494381,76119
fantasy_points_z_5_vs_30,0.02132913942576394,0.11496135195254376,0.11496135195254376,75296
numMinutes_z_10_vs_30,0.021979021797054733,0.11485635398265759,0.11485635398265759,75246
fantasy_points_z_10_vs_30,0.02132913942576394,0.11391740385021963,0.11391740385021963,75296
numMinutes_momentum_10_vs_30,0.010632075594317428,0.11278504476269313,0.11278504476269313,76119
freeThrowsPercentage_std_30,0.02096520529784109,0.11049299615715623,-0.11049299615715623,75324
points_z_10_vs_30,0.0243185983337016,0.1096795213687099,0.1096795213687099,75066
points_z_5_vs_30,0.0243185983337016,0.10912515257092817,0.10912515257092817,75066
defensiveRating_roll_5,0.010632075594317428,0.0988645224560143,0.0988645224560143,76119
bodyWeightLbs,0.0,0.09508484947530982,0.09508484947530982,76937
assists_momentum_10_vs_30,0.010632075594317428,0.08693267539795808,0.08693267539795808,76119
bench_minutes_momentum_10_vs_30,0.010632075594317428,0.08500297377066166,-0.08500297377066166,76119
reboundsTotal_z_5_vs_30,0.02442257951310813,0.08296281809185993,0.08296281809185993,75058
numMinutes_momentum_3_vs_10,0.010632075594317428,0.08234510338604209,0.08234510338604209,76119
assists_z_10_vs_30,0.032338146795430026,0.08184234049756242,0.08184234049756242,74449
starter_minutes_momentum_3_vs_10,0.010632075594317428,0.08099998099049847,0.08099998099049847,76119
reboundsTotal_z_10_vs_30,0.02442257951310813,0.08098926474157693,0.08098926474157693,75058
assists_z_5_vs_30,0.032338146795430026,0.08037293256727365,0.08037293256727365,74449
reboundsTotal_momentum_10_vs_30,0.010632075594317428,0.0800293295107295,0.0800293295107295,76119
starter_minutes_momentum_5_vs_10,0.010632075594317428,0.07540580853856901,0.07540580853856901,76119
numMinutes_momentum_5_vs_10,0.010632075594317428,0.07079228228134095,0.07079228228134095,76119
pace_roll_30,0.010632075594317428,0.06880960166141405,-0.06880960166141405,76119
fantasy_points_momentum_3_vs_10,0.010632075594317428,0.06756758240401255,0.06756758240401255,76119
current_is_starter_momentum_5_vs_10,0.010632075594317428,0.06739988978573622,0.06739988978573622,76119
bench_minutes_z_10_vs_30,0.16857948711283258,0.06654851028760964,-0.06654851028760964,63967
heightInches,0.0,0.061569610062948976,0.061569610062948976,76937
freeThrowsPercentage_momentum_10_vs_30,0.010632075594317428,0.0574673131736384,0.0574673131736384,76119
opp_pos_starter_count_roll_5,0.34243601908054644,0.05568577435452961,-0.05568577435452961,50591
opp_pos_starter_count_roll_10,0.34243601908054644,0.05568577435452961,-0.05568577435452961,50591
opp_pos_starter_count_roll_30,0.34243601908054644,0.05568577435452961,-0.05568577435452961,50591
bench_minutes_roll_30,0.010632075594317428,0.054337331454334656,0.054337331454334656,76119
pace_std_30,0.02096520529784109,0.052824799267262315,-0.052824799267262315,75324
pace_roll_10,0.010632075594317428,0.05280749324257725,-0.05280749324257725,76119
opp_pos_minutes_allowed_roll_30,0.34243601908054644,0.05161255167994579,-0.05161255167994579,50591
opp_pos_minutes_allowed_roll_10,0.34243601908054644,0.050891987344568505,-0.050891987344568505,50591
